,Unnamed: 0,사업장명,카페이름,URL
0,0,고산3동 라이크유,우주라이크커피 경산점,https://drive.google.com/uc?id=1a3FEaQbQKvXHj1urB0EKUcLwd62U7_b6
1,1,남산4동 말그미옥상,말그미옥상,https://drive.google.com/uc?id=19Ge9S85HvUhVZEsm3yoW8coINjgCgdiW
2,2,대명3동 코너커피,코너커피,https://drive.google.com/uc?id=1MyEENteU4edDIeUrTHF7Cn7jmf1_lsFy
3,3,남산4동 줄라이모닝,줄라이모닝,https://drive.google.com/uc?id=1EXT_DjA_PlpJnruJAnKBpsV3JImlIQIq
4,4,대명6동 카페로커피,카페로커피,https://drive.google.com/uc?id=14QKTKYJyILI9r0dfgawLywZTf1SeUGOh
5,5,대명4동 앰프티커피,엠프티커피,https://drive.google.com/uc?id=1cedJUEklf2xeSdFkNu7l-r_9ig2de7D7
6,6,대명4동 다올,다올,https://drive.google.com/uc?id=1vzuRh48SHVxYrbaqSq5CqM4EGmZi8e0V
7,7,봉덕3동 프렌네,카페 프렌네,https://drive.google.com/uc?id=1fSnv2i_AS-qAZFRM9NGtkix326fKTJhN
8,8,파동 커피온니두,커피온니두,https://drive.google.com/uc?id=1lVN0TwDkHhS-_oBLQ4vKQA-CAPt6dFAJ
9,9,대명11동 소소우드,소소우드,https://drive.google.com/uc?id=1oGiWlWRwYLNTukV_E-UIDb-QqkrkpfGg
